,Due Time,Stage-1 Processing Time,Stage-2 Processing Time,Stage-1 Machines,Stage-2 Machines
0,3.1,0.4,0.0,"1,2,3,4,5,6,7,8,9,",
1,24.0,8.1,8.6,"1,2,3,4,5,6,7,8,9,","1,2,3,4,5,6,7,8,"
2,14.7,5.0,5.2,"1,2,3,4,5,6,7,8,9,","1,2,3,4,5,6,7,8,"
3,19.2,7.5,8.3,"1,2,3,4,5,6,7,8,9,","1,2,3,4,5,6,7,8,"
4,14.3,3.1,8.7,"1,2,3,4,5,6,7,8,9,","1,2,3,4,5,6,7,8,"
5,15.1,9.5,1.9,"1,2,3,4,5,6,7,8,9,","1,2,3,4,5,6,7,8,"
6,14.8,3.5,9.5,"1,2,3,4,5,6,7,8,9,","1,2,3,4,5,6,7,8,"
7,15.3,3.9,0.0,"1,2,3,4,5,6,7,8,9,",
8,14.5,1.9,8.8,"1,2,3,4,5,6,7,8,9,","1,2,3,4,5,6,7,8,"
9,9.5,7.8,0.5,"1,2,3,4,5,6,7,8,9,","1,2,3,4,5,6,7,8,"
10,11.5,6.8,9.9,"1,2,3,4,5,6,7,8,9,","1,2,3,4,5,6,7,8,"
11,20.7,9.3,9.0,"1,2,3,4,5,6,7,8,9,","1,2,3,4,5,6,7,8,"
12,11.8,1.7,5.4,"1,2,3,4,5,6,7,8,9,","1,2,3,4,5,6,7,8,"
13,12.6,3.2,3.4000000000000004,"1,2,3,4,5,6,7,8,9,","1,2,3,4,5,6,7,8,"
14,5.9,3.3,0.0,"1,2,3,4,5,6,7,8,9,",
15,14.2,9.1,3.0999999999999996,"1,2,3,4,5,6,7,8,9,","1,2,3,4,5,6,7,8,"
16,11.9,0.9,5.0,"1,2,3,4,5,6,7,8,9,","1,2,3,4,5,6,7,8,"
17,19.1,9.6,8.9,"1,2,3,4,5,6,7,8,9,","1,2,3,4,5,6,7,8,"
18,1.0,1.8,0.0,"1,2,3,4,5,6,7,8,9,",
19,1.0,1.2,0.0,"1,2,3,4,5,6,7,8,9,",
20,16.1,7.7,4.7,"1,2,3,4,5,6,7,8,9,","1,2,3,4,5,6,7,8,"
21,14.9,0.7,4.1,"1,2,3,4,5,6,7,8,9,","1,2,3,4,5,6,7,8,"
22,9.9,6.7,2.5999999999999996,"1,2,3,4,5,6,7,8,9,","1,2,3,4,5,6,7,8,"
23,7.0,1.6,4.2,"1,2,3,4,5,6,7,8,9,","1,2,3,4,5,6,7,8,"
24,13.1,2.9,4.1,"1,2,3,4,5,6,7,8,9,","1,2,3,4,5,6,7,8,"
25,18.3,2.9,8.3,"1,2,3,4,5,6,7,8,9,","1,2,3,4,5,6,7,8,"
26,22.2,1.2,9.1,"1,2,3,4,5,6,7,8,9,","1,2,3,4,5,6,7,8,"
