,Due Time,Stage-1 Processing Time,Stage-2 Processing Time,Stage-1 Machines,Stage-2 Machines
0,24.0,2.1,9.4,"1,2,3,4,5,6,7,8,9,10,11,12,13,","1,2,3,4,5,6,9,11,12,13,"
1,9.4,1.8,7.5,"1,2,3,4,5,6,7,8,9,10,11,12,13,","1,2,3,4,5,6,9,11,12,13,"
2,2.7,0.3,2.7,"1,2,3,4,5,6,7,8,9,10,11,12,13,","1,2,3,4,5,6,9,11,12,13,"
3,14.9,9.5,0.0,"1,2,3,4,5,6,7,8,9,10,11,12,13,",
4,6.0,4.6,4.9,"1,2,3,4,5,6,7,8,9,10,11,12,13,","1,2,3,4,5,6,9,11,12,13,"
5,15.7,0.3,0.6000000000000001,"1,2,3,4,5,6,7,8,9,10,11,12,13,","1,2,3,4,5,6,9,11,12,13,"
6,12.3,6.6,0.7999999999999998,"1,2,3,4,5,6,7,8,9,10,11,12,13,","1,2,3,4,5,6,9,11,12,13,"
7,5.0,2.3,0.2999999999999998,"1,2,3,4,5,6,7,8,9,10,11,12,13,","1,2,3,4,5,6,9,11,12,13,"
8,17.9,6.0,5.5,"1,2,3,4,5,6,7,8,9,10,11,12,13,","1,2,3,4,5,6,9,11,12,13,"
9,19.6,8.4,9.0,"1,2,3,4,5,6,7,8,9,10,11,12,13,","1,2,3,4,5,6,9,11,12,13,"
10,16.6,7.8,0.0,"1,2,3,4,5,6,7,8,9,10,11,12,13,",
11,21.5,5.4,8.9,"1,2,3,4,5,6,7,8,9,10,11,12,13,","1,2,3,4,5,6,9,11,12,13,"
12,5.8,4.5,0.0,"1,2,3,4,5,6,7,8,9,10,11,12,13,",
13,13.2,5.6,6.199999999999999,"1,2,3,4,5,6,7,8,9,10,11,12,13,","1,2,3,4,5,6,9,11,12,13,"
14,12.5,1.7,3.5,"1,2,3,4,5,6,7,8,9,10,11,12,13,","1,2,3,4,5,6,9,11,12,13,"
15,5.9,0.3,0.5,"1,2,3,4,5,6,7,8,9,10,11,12,13,","1,2,3,4,5,6,9,11,12,13,"
16,14.7,4.3,0.0,"1,2,3,4,5,6,7,8,9,10,11,12,13,",
17,24.0,8.7,1.2000000000000002,"1,2,3,4,5,6,7,8,9,10,11,12,13,","1,2,3,4,5,6,9,11,12,13,"
18,11.8,2.2,2.5999999999999996,"1,2,3,4,5,6,7,8,9,10,11,12,13,","1,2,3,4,5,6,9,11,12,13,"
19,10.3,5.5,4.5,"1,2,3,4,5,6,7,8,9,10,11,12,13,","1,2,3,4,5,6,9,11,12,13,"
20,22.6,9.0,2.7,"1,2,3,4,5,6,7,8,9,10,11,12,13,","1,2,3,4,5,6,9,11,12,13,"
21,1.0,0.5,2.5,"1,2,3,4,5,6,7,8,9,10,11,12,13,","1,2,3,4,5,6,9,11,12,13,"
22,24.0,9.5,5.3,"1,2,3,4,5,6,7,8,9,10,11,12,13,","1,2,3,4,5,6,9,11,12,13,"
