Job ID,Due Time,Stage-1 Processing Time,Stage-2 Processing Time,Stage-1 Machines,Stage-2 Machines
0,13.5,8.0,1.7999999999999998,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","1,2,3,5,6,7,9,10,11,13,14,16"
1,9.3,4.0,3.2,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","1,2,3,5,6,7,9,10,11,13,14,16"
2,17.0,4.7,6.5,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","1,2,3,5,6,7,9,10,11,13,14,16"
3,15.1,4.3,7.800000000000001,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","1,2,3,5,6,7,9,10,11,13,14,16"
4,23.2,6.1,9.7,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","1,2,3,5,6,7,9,10,11,13,14,16"
5,24.0,4.2,9.7,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","1,2,3,5,6,7,9,10,11,13,14,16"
6,11.8,6.2,9.0,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","1,2,3,5,6,7,9,10,11,13,14,16"
7,18.2,6.7,7.1,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","1,2,3,5,6,7,9,10,11,13,14,16"
8,19.6,5.5,0.0,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",
9,13.0,4.9,5.9,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","1,2,3,5,6,7,9,10,11,13,14,16"
10,24.0,4.9,9.2,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","1,2,3,5,6,7,9,10,11,13,14,16"
11,23.6,7.8,6.6,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","1,2,3,5,6,7,9,10,11,13,14,16"
12,6.2,3.3,6.199999999999999,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","1,2,3,5,6,7,9,10,11,13,14,16"
13,12.1,2.8,4.4,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","1,2,3,5,6,7,9,10,11,13,14,16"
14,9.9,5.7,0.0,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",
15,24.0,4.1,3.2,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","1,2,3,5,6,7,9,10,11,13,14,16"
16,1.4,7.9,2.5,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","1,2,3,5,6,7,9,10,11,13,14,16"
17,1.0,0.4,0.5,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","1,2,3,5,6,7,9,10,11,13,14,16"
18,12.5,2.0,7.699999999999999,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","1,2,3,5,6,7,9,10,11,13,14,16"
19,10.9,8.9,0.0,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",
20,2.6,3.5,0.7000000000000002,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","1,2,3,5,6,7,9,10,11,13,14,16"
21,11.8,5.3,6.300000000000001,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","1,2,3,5,6,7,9,10,11,13,14,16"
