,Due Time,Stage-1 Processing Time,Stage-2 Processing Time,Stage-1 Machines,Stage-2 Machines
0,16.9,6.5,6.199999999999999,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,","1,4,5,7,8,9,10,11,12,13,15,16,"
1,18.1,5.4,6.699999999999999,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,","1,4,5,7,8,9,10,11,12,13,15,16,"
2,19.8,7.2,9.4,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,","1,4,5,7,8,9,10,11,12,13,15,16,"
3,13.3,5.0,3.0999999999999996,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,","1,4,5,7,8,9,10,11,12,13,15,16,"
4,9.9,2.8,0.0,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,",
5,16.0,3.3,8.3,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,","1,4,5,7,8,9,10,11,12,13,15,16,"
6,19.3,8.7,0.0,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,",
7,12.1,6.7,2.7,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,","1,4,5,7,8,9,10,11,12,13,15,16,"
8,24.0,7.0,8.7,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,","1,4,5,7,8,9,10,11,12,13,15,16,"
9,14.5,2.3,8.0,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,","1,4,5,7,8,9,10,11,12,13,15,16,"
10,1.0,0.7,2.9000000000000004,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,","1,4,5,7,8,9,10,11,12,13,15,16,"
11,24.0,5.3,9.0,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,","1,4,5,7,8,9,10,11,12,13,15,16,"
12,8.0,8.1,0.0,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,",
13,9.8,1.5,6.699999999999999,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,","1,4,5,7,8,9,10,11,12,13,15,16,"
14,18.5,1.4,8.6,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,","1,4,5,7,8,9,10,11,12,13,15,16,"
15,18.0,3.9,7.199999999999999,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,","1,4,5,7,8,9,10,11,12,13,15,16,"
16,17.1,9.5,5.1,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,","1,4,5,7,8,9,10,11,12,13,15,16,"
17,9.7,1.0,0.0,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,",
18,21.3,5.4,8.4,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,","1,4,5,7,8,9,10,11,12,13,15,16,"
19,18.6,5.9,7.4,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,","1,4,5,7,8,9,10,11,12,13,15,16,"
20,10.2,3.5,2.0999999999999996,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,","1,4,5,7,8,9,10,11,12,13,15,16,"
21,3.3,4.3,0.0,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,",
