,Due Time,Stage-1 Processing Time,Stage-2 Processing Time,Stage-1 Machines,Stage-2 Machines
0,13.7,7.5,3.3,"1,2,3,4,5,6,7,8,","1,2,4,5,6,7,8,"
1,10.3,1.0,9.0,"1,2,3,4,5,6,7,8,","1,2,4,5,6,7,8,"
2,7.8,1.9,6.0,"1,2,3,4,5,6,7,8,","1,2,4,5,6,7,8,"
3,5.9,0.4,1.7999999999999998,"1,2,3,4,5,6,7,8,","1,2,4,5,6,7,8,"
4,15.1,5.6,3.0999999999999996,"1,2,3,4,5,6,7,8,","1,2,4,5,6,7,8,"
5,7.5,0.1,4.6,"1,2,3,4,5,6,7,8,","1,2,4,5,6,7,8,"
6,16.9,5.8,6.0,"1,2,3,4,5,6,7,8,","1,2,4,5,6,7,8,"
7,16.1,0.5,9.3,"1,2,3,4,5,6,7,8,","1,2,4,5,6,7,8,"
8,20.0,5.2,9.0,"1,2,3,4,5,6,7,8,","1,2,4,5,6,7,8,"
9,17.0,9.3,1.9,"1,2,3,4,5,6,7,8,","1,2,4,5,6,7,8,"
10,3.1,9.8,1.7000000000000002,"1,2,3,4,5,6,7,8,","1,2,4,5,6,7,8,"
11,10.8,3.5,0.0,"1,2,3,4,5,6,7,8,",
12,20.9,3.6,8.7,"1,2,3,4,5,6,7,8,","1,2,4,5,6,7,8,"
13,8.7,1.2,3.5999999999999996,"1,2,3,4,5,6,7,8,","1,2,4,5,6,7,8,"
14,17.5,2.8,0.7999999999999998,"1,2,3,4,5,6,7,8,","1,2,4,5,6,7,8,"
15,5.5,0.5,0.2999999999999998,"1,2,3,4,5,6,7,8,","1,2,4,5,6,7,8,"
16,7.9,9.0,0.0,"1,2,3,4,5,6,7,8,",
17,9.6,1.5,2.5,"1,2,3,4,5,6,7,8,","1,2,4,5,6,7,8,"
18,23.1,8.2,9.2,"1,2,3,4,5,6,7,8,","1,2,4,5,6,7,8,"
19,11.8,7.7,3.5999999999999996,"1,2,3,4,5,6,7,8,","1,2,4,5,6,7,8,"
20,24.0,9.8,3.9000000000000004,"1,2,3,4,5,6,7,8,","1,2,4,5,6,7,8,"
21,1.0,0.6,0.20000000000000018,"1,2,3,4,5,6,7,8,","1,2,4,5,6,7,8,"
22,24.0,9.9,8.4,"1,2,3,4,5,6,7,8,","1,2,4,5,6,7,8,"
23,2.5,3.8,0.0,"1,2,3,4,5,6,7,8,",
24,9.7,0.5,7.9,"1,2,3,4,5,6,7,8,","1,2,4,5,6,7,8,"
25,2.8,4.8,0.0,"1,2,3,4,5,6,7,8,",
26,18.6,7.5,8.7,"1,2,3,4,5,6,7,8,","1,2,4,5,6,7,8,"
27,21.8,8.4,8.5,"1,2,3,4,5,6,7,8,","1,2,4,5,6,7,8,"
