,Due Time,Stage-1 Processing Time,Stage-2 Processing Time,Stage-1 Machines,Stage-2 Machines
0,9.3,4.7,1.0,"1,2,3,4,5,6,7,8,","1,2,3,5,6,7,"
1,18.4,6.3,1.7000000000000002,"1,2,3,4,5,6,7,8,","1,2,3,5,6,7,"
2,2.9,0.4,3.0999999999999996,"1,2,3,4,5,6,7,8,","1,2,3,5,6,7,"
3,14.9,6.0,5.0,"1,2,3,4,5,6,7,8,","1,2,3,5,6,7,"
4,18.3,6.1,5.8,"1,2,3,4,5,6,7,8,","1,2,3,5,6,7,"
5,24.0,9.3,8.3,"1,2,3,4,5,6,7,8,","1,2,3,5,6,7,"
6,17.5,1.5,0.0,"1,2,3,4,5,6,7,8,",
7,8.2,2.5,4.7,"1,2,3,4,5,6,7,8,","1,2,3,5,6,7,"
8,6.1,2.3,0.0,"1,2,3,4,5,6,7,8,",
9,11.7,4.2,1.6,"1,2,3,4,5,6,7,8,","1,2,3,5,6,7,"
10,5.3,1.6,4.3,"1,2,3,4,5,6,7,8,","1,2,3,5,6,7,"
11,11.1,0.6,7.800000000000001,"1,2,3,4,5,6,7,8,","1,2,3,5,6,7,"
12,20.3,2.1,9.8,"1,2,3,4,5,6,7,8,","1,2,3,5,6,7,"
13,16.1,8.8,0.2999999999999998,"1,2,3,4,5,6,7,8,","1,2,3,5,6,7,"
14,13.2,4.5,0.0,"1,2,3,4,5,6,7,8,",
15,19.2,8.1,9.1,"1,2,3,4,5,6,7,8,","1,2,3,5,6,7,"
16,12.4,3.7,4.7,"1,2,3,4,5,6,7,8,","1,2,3,5,6,7,"
17,18.2,2.7,8.5,"1,2,3,4,5,6,7,8,","1,2,3,5,6,7,"
18,15.7,2.6,9.5,"1,2,3,4,5,6,7,8,","1,2,3,5,6,7,"
19,20.0,8.0,0.0,"1,2,3,4,5,6,7,8,",
20,1.0,2.1,0.3999999999999999,"1,2,3,4,5,6,7,8,","1,2,3,5,6,7,"
21,14.0,1.8,7.4,"1,2,3,4,5,6,7,8,","1,2,3,5,6,7,"
22,13.2,9.3,0.0,"1,2,3,4,5,6,7,8,",
23,3.9,5.5,1.4,"1,2,3,4,5,6,7,8,","1,2,3,5,6,7,"
24,14.2,4.6,1.7999999999999998,"1,2,3,4,5,6,7,8,","1,2,3,5,6,7,"
25,1.0,0.4,0.5,"1,2,3,4,5,6,7,8,","1,2,3,5,6,7,"
26,24.0,8.6,9.3,"1,2,3,4,5,6,7,8,","1,2,3,5,6,7,"
27,24.0,7.1,5.8,"1,2,3,4,5,6,7,8,","1,2,3,5,6,7,"
