Job ID,Due Time,Stage-1 Processing Time,Stage-2 Processing Time,Stage-1 Machines,Stage-2 Machines
0,20.3,8.5,5.5,"1,2,3,4,5,6,7,8,9,10,11,12,13","1,2,4,5,6,7,8,9,10,11,12"
1,14.0,2.2,1.6,"1,2,3,4,5,6,7,8,9,10,11,12,13","1,2,4,5,6,7,8,9,10,11,12"
2,18.8,4.8,9.7,"1,2,3,4,5,6,7,8,9,10,11,12,13","1,2,4,5,6,7,8,9,10,11,12"
3,12.4,4.8,3.5999999999999996,"1,2,3,4,5,6,7,8,9,10,11,12,13","1,2,4,5,6,7,8,9,10,11,12"
4,10.9,5.7,6.4,"1,2,3,4,5,6,7,8,9,10,11,12,13","1,2,4,5,6,7,8,9,10,11,12"
5,3.0,2.2,0.0,"1,2,3,4,5,6,7,8,9,10,11,12,13",
6,22.3,2.7,8.3,"1,2,3,4,5,6,7,8,9,10,11,12,13","1,2,4,5,6,7,8,9,10,11,12"
7,24.0,8.7,8.0,"1,2,3,4,5,6,7,8,9,10,11,12,13","1,2,4,5,6,7,8,9,10,11,12"
8,13.5,6.3,1.4,"1,2,3,4,5,6,7,8,9,10,11,12,13","1,2,4,5,6,7,8,9,10,11,12"
9,1.0,0.4,0.10000000000000009,"1,2,3,4,5,6,7,8,9,10,11,12,13","1,2,4,5,6,7,8,9,10,11,12"
10,19.8,9.0,8.8,"1,2,3,4,5,6,7,8,9,10,11,12,13","1,2,4,5,6,7,8,9,10,11,12"
11,23.4,8.1,7.9,"1,2,3,4,5,6,7,8,9,10,11,12,13","1,2,4,5,6,7,8,9,10,11,12"
12,11.7,0.3,9.6,"1,2,3,4,5,6,7,8,9,10,11,12,13","1,2,4,5,6,7,8,9,10,11,12"
13,21.1,8.1,5.1,"1,2,3,4,5,6,7,8,9,10,11,12,13","1,2,4,5,6,7,8,9,10,11,12"
14,19.2,4.0,7.0,"1,2,3,4,5,6,7,8,9,10,11,12,13","1,2,4,5,6,7,8,9,10,11,12"
15,19.7,8.3,0.6000000000000001,"1,2,3,4,5,6,7,8,9,10,11,12,13","1,2,4,5,6,7,8,9,10,11,12"
16,12.3,8.2,7.9,"1,2,3,4,5,6,7,8,9,10,11,12,13","1,2,4,5,6,7,8,9,10,11,12"
17,3.5,2.8,0.0,"1,2,3,4,5,6,7,8,9,10,11,12,13",
18,1.0,1.5,0.0,"1,2,3,4,5,6,7,8,9,10,11,12,13",
19,5.3,5.1,0.0,"1,2,3,4,5,6,7,8,9,10,11,12,13",
20,12.8,2.6,6.699999999999999,"1,2,3,4,5,6,7,8,9,10,11,12,13","1,2,4,5,6,7,8,9,10,11,12"
21,7.4,3.5,0.0,"1,2,3,4,5,6,7,8,9,10,11,12,13",
22,17.8,8.0,2.4000000000000004,"1,2,3,4,5,6,7,8,9,10,11,12,13","1,2,4,5,6,7,8,9,10,11,12"
23,6.7,1.5,5.6,"1,2,3,4,5,6,7,8,9,10,11,12,13","1,2,4,5,6,7,8,9,10,11,12"
24,7.2,0.5,5.2,"1,2,3,4,5,6,7,8,9,10,11,12,13","1,2,4,5,6,7,8,9,10,11,12"
25,8.2,4.6,0.0,"1,2,3,4,5,6,7,8,9,10,11,12,13",
26,12.8,2.4,6.300000000000001,"1,2,3,4,5,6,7,8,9,10,11,12,13","1,2,4,5,6,7,8,9,10,11,12"
27,1.0,0.2,0.0,"1,2,3,4,5,6,7,8,9,10,11,12,13",
28,9.0,5.9,2.5,"1,2,3,4,5,6,7,8,9,10,11,12,13","1,2,4,5,6,7,8,9,10,11,12"
29,11.1,3.6,4.8,"1,2,3,4,5,6,7,8,9,10,11,12,13","1,2,4,5,6,7,8,9,10,11,12"
30,1.7,4.5,1.4,"1,2,3,4,5,6,7,8,9,10,11,12,13","1,2,4,5,6,7,8,9,10,11,12"
31,12.2,9.5,4.4,"1,2,3,4,5,6,7,8,9,10,11,12,13","1,2,4,5,6,7,8,9,10,11,12"
32,22.6,9.4,8.5,"1,2,3,4,5,6,7,8,9,10,11,12,13","1,2,4,5,6,7,8,9,10,11,12"
