,Due Time,Stage-1 Processing Time,Stage-2 Processing Time,Stage-1 Machines,Stage-2 Machines
0,24.0,8.7,0.0,"1,2,3,4,",
1,11.3,4.9,0.7999999999999998,"1,2,3,4,","1,2,3,"
2,9.3,0.7,0.0,"1,2,3,4,",
3,21.1,8.9,6.1,"1,2,3,4,","1,2,3,"
4,14.1,6.5,3.8,"1,2,3,4,","1,2,3,"
5,18.1,9.7,6.5,"1,2,3,4,","1,2,3,"
6,19.5,9.4,8.5,"1,2,3,4,","1,2,3,"
7,13.3,8.5,0.0,"1,2,3,4,",
8,10.2,2.6,8.4,"1,2,3,4,","1,2,3,"
9,6.5,5.2,0.8999999999999999,"1,2,3,4,","1,2,3,"
10,24.0,7.5,7.699999999999999,"1,2,3,4,","1,2,3,"
11,24.0,9.9,5.0,"1,2,3,4,","1,2,3,"
