,Due Time,Stage-1 Processing Time,Stage-2 Processing Time,Stage-1 Machines,Stage-2 Machines
0,24.0,5.6,7.6,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,","2,3,6,7,8,9,11,12,13,14,15,16,18,"
1,1.0,2.0,0.0,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,",
2,13.6,3.7,8.2,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,","2,3,6,7,8,9,11,12,13,14,15,16,18,"
3,19.4,6.1,8.7,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,","2,3,6,7,8,9,11,12,13,14,15,16,18,"
4,22.8,4.7,9.8,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,","2,3,6,7,8,9,11,12,13,14,15,16,18,"
5,18.6,7.1,9.4,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,","2,3,6,7,8,9,11,12,13,14,15,16,18,"
6,22.8,9.8,4.3,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,","2,3,6,7,8,9,11,12,13,14,15,16,18,"
7,1.0,0.4,0.0,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,",
8,11.2,4.8,0.0,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,",
9,1.0,2.3,0.8999999999999999,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,","2,3,6,7,8,9,11,12,13,14,15,16,18,"
10,17.8,7.4,0.0,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,",
11,5.6,6.9,1.9,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,","2,3,6,7,8,9,11,12,13,14,15,16,18,"
12,22.9,9.4,6.1,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,","2,3,6,7,8,9,11,12,13,14,15,16,18,"
13,3.2,2.8,0.0,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,",
14,11.1,6.0,4.3,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,","2,3,6,7,8,9,11,12,13,14,15,16,18,"
15,7.2,0.5,0.20000000000000018,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,","2,3,6,7,8,9,11,12,13,14,15,16,18,"
16,24.0,8.2,9.8,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,","2,3,6,7,8,9,11,12,13,14,15,16,18,"
17,13.1,4.3,5.0,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,","2,3,6,7,8,9,11,12,13,14,15,16,18,"
18,13.4,5.5,2.0999999999999996,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,","2,3,6,7,8,9,11,12,13,14,15,16,18,"
19,19.8,3.9,3.5999999999999996,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,","2,3,6,7,8,9,11,12,13,14,15,16,18,"
20,3.7,8.4,0.6000000000000001,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,","2,3,6,7,8,9,11,12,13,14,15,16,18,"
21,1.0,5.9,2.3,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,","2,3,6,7,8,9,11,12,13,14,15,16,18,"
22,14.7,9.8,2.5999999999999996,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,","2,3,6,7,8,9,11,12,13,14,15,16,18,"
23,14.0,3.9,7.4,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,","2,3,6,7,8,9,11,12,13,14,15,16,18,"
24,11.5,5.8,0.0,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,",
25,13.5,4.8,4.0,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,","2,3,6,7,8,9,11,12,13,14,15,16,18,"
26,13.2,9.0,0.0,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,",
27,10.6,9.3,1.7999999999999998,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,","2,3,6,7,8,9,11,12,13,14,15,16,18,"
28,6.1,2.0,0.2999999999999998,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,","2,3,6,7,8,9,11,12,13,14,15,16,18,"
29,12.1,3.0,1.7000000000000002,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,","2,3,6,7,8,9,11,12,13,14,15,16,18,"
30,13.8,2.8,5.7,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,","2,3,6,7,8,9,11,12,13,14,15,16,18,"
31,12.8,7.6,1.0,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,","2,3,6,7,8,9,11,12,13,14,15,16,18,"
32,14.6,5.6,1.2000000000000002,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,","2,3,6,7,8,9,11,12,13,14,15,16,18,"
33,4.6,1.5,1.2000000000000002,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,","2,3,6,7,8,9,11,12,13,14,15,16,18,"
34,9.2,1.7,4.9,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,","2,3,6,7,8,9,11,12,13,14,15,16,18,"
35,18.9,9.2,1.6,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,","2,3,6,7,8,9,11,12,13,14,15,16,18,"
