,Due Time,Stage-1 Processing Time,Stage-2 Processing Time,Stage-1 Machines,Stage-2 Machines
0,12.0,0.6,0.7000000000000002,"1,2,3,4,5,6,7,8,9,10,11,","1,3,4,5,7,8,9,10,"
1,10.1,4.9,5.1,"1,2,3,4,5,6,7,8,9,10,11,","1,3,4,5,7,8,9,10,"
2,21.3,7.6,5.6,"1,2,3,4,5,6,7,8,9,10,11,","1,3,4,5,7,8,9,10,"
3,13.4,1.5,3.2,"1,2,3,4,5,6,7,8,9,10,11,","1,3,4,5,7,8,9,10,"
4,8.5,2.4,5.1,"1,2,3,4,5,6,7,8,9,10,11,","1,3,4,5,7,8,9,10,"
5,17.3,5.6,6.4,"1,2,3,4,5,6,7,8,9,10,11,","1,3,4,5,7,8,9,10,"
6,10.7,6.0,7.6,"1,2,3,4,5,6,7,8,9,10,11,","1,3,4,5,7,8,9,10,"
7,16.4,4.4,0.7000000000000002,"1,2,3,4,5,6,7,8,9,10,11,","1,3,4,5,7,8,9,10,"
8,10.4,1.9,5.8,"1,2,3,4,5,6,7,8,9,10,11,","1,3,4,5,7,8,9,10,"
9,14.1,1.0,1.0,"1,2,3,4,5,6,7,8,9,10,11,","1,3,4,5,7,8,9,10,"
10,23.2,9.1,6.699999999999999,"1,2,3,4,5,6,7,8,9,10,11,","1,3,4,5,7,8,9,10,"
11,11.7,3.8,1.0,"1,2,3,4,5,6,7,8,9,10,11,","1,3,4,5,7,8,9,10,"
12,11.2,2.3,6.0,"1,2,3,4,5,6,7,8,9,10,11,","1,3,4,5,7,8,9,10,"
13,16.9,6.7,3.5,"1,2,3,4,5,6,7,8,9,10,11,","1,3,4,5,7,8,9,10,"
14,16.7,6.5,8.2,"1,2,3,4,5,6,7,8,9,10,11,","1,3,4,5,7,8,9,10,"
15,7.4,2.2,0.3999999999999999,"1,2,3,4,5,6,7,8,9,10,11,","1,3,4,5,7,8,9,10,"
16,13.9,2.7,3.8,"1,2,3,4,5,6,7,8,9,10,11,","1,3,4,5,7,8,9,10,"
17,22.8,5.4,8.6,"1,2,3,4,5,6,7,8,9,10,11,","1,3,4,5,7,8,9,10,"
18,3.8,2.6,0.0,"1,2,3,4,5,6,7,8,9,10,11,",
19,20.0,0.3,8.0,"1,2,3,4,5,6,7,8,9,10,11,","1,3,4,5,7,8,9,10,"
20,6.9,6.1,1.4,"1,2,3,4,5,6,7,8,9,10,11,","1,3,4,5,7,8,9,10,"
21,17.4,7.1,0.0,"1,2,3,4,5,6,7,8,9,10,11,",
22,24.0,8.6,8.8,"1,2,3,4,5,6,7,8,9,10,11,","1,3,4,5,7,8,9,10,"
23,8.5,4.7,5.0,"1,2,3,4,5,6,7,8,9,10,11,","1,3,4,5,7,8,9,10,"
24,17.4,0.5,8.1,"1,2,3,4,5,6,7,8,9,10,11,","1,3,4,5,7,8,9,10,"
25,1.0,1.9,1.5,"1,2,3,4,5,6,7,8,9,10,11,","1,3,4,5,7,8,9,10,"
26,19.8,2.7,4.2,"1,2,3,4,5,6,7,8,9,10,11,","1,3,4,5,7,8,9,10,"
27,6.9,0.8,3.5,"1,2,3,4,5,6,7,8,9,10,11,","1,3,4,5,7,8,9,10,"
28,2.3,2.1,1.5,"1,2,3,4,5,6,7,8,9,10,11,","1,3,4,5,7,8,9,10,"
29,21.2,9.2,6.699999999999999,"1,2,3,4,5,6,7,8,9,10,11,","1,3,4,5,7,8,9,10,"
30,17.0,8.1,4.8,"1,2,3,4,5,6,7,8,9,10,11,","1,3,4,5,7,8,9,10,"
31,24.0,6.8,8.7,"1,2,3,4,5,6,7,8,9,10,11,","1,3,4,5,7,8,9,10,"
32,17.3,1.5,8.0,"1,2,3,4,5,6,7,8,9,10,11,","1,3,4,5,7,8,9,10,"
