,Due Time,Stage-1 Processing Time,Stage-2 Processing Time,Stage-1 Machines,Stage-2 Machines
0,12.6,5.7,4.7,"1,2,3,4,5,6,7,8,9,10,11,12,","1,2,5,6,7,8,9,10,11,12,"
1,22.4,9.7,4.6,"1,2,3,4,5,6,7,8,9,10,11,12,","1,2,5,6,7,8,9,10,11,12,"
2,10.4,4.4,4.8,"1,2,3,4,5,6,7,8,9,10,11,12,","1,2,5,6,7,8,9,10,11,12,"
3,18.8,7.6,2.3,"1,2,3,4,5,6,7,8,9,10,11,12,","1,2,5,6,7,8,9,10,11,12,"
4,1.0,0.4,0.0,"1,2,3,4,5,6,7,8,9,10,11,12,",
5,1.0,3.7,0.0,"1,2,3,4,5,6,7,8,9,10,11,12,",
6,8.9,3.4,0.0,"1,2,3,4,5,6,7,8,9,10,11,12,",
7,18.7,7.5,8.0,"1,2,3,4,5,6,7,8,9,10,11,12,","1,2,5,6,7,8,9,10,11,12,"
8,13.8,2.1,4.2,"1,2,3,4,5,6,7,8,9,10,11,12,","1,2,5,6,7,8,9,10,11,12,"
9,12.3,7.2,3.5,"1,2,3,4,5,6,7,8,9,10,11,12,","1,2,5,6,7,8,9,10,11,12,"
10,6.8,2.3,1.1,"1,2,3,4,5,6,7,8,9,10,11,12,","1,2,5,6,7,8,9,10,11,12,"
11,9.7,4.6,2.2,"1,2,3,4,5,6,7,8,9,10,11,12,","1,2,5,6,7,8,9,10,11,12,"
12,16.5,4.2,3.2,"1,2,3,4,5,6,7,8,9,10,11,12,","1,2,5,6,7,8,9,10,11,12,"
13,1.0,7.5,0.0,"1,2,3,4,5,6,7,8,9,10,11,12,",
14,13.7,7.6,0.0,"1,2,3,4,5,6,7,8,9,10,11,12,",
15,4.7,3.3,3.0,"1,2,3,4,5,6,7,8,9,10,11,12,","1,2,5,6,7,8,9,10,11,12,"
16,17.6,9.1,5.5,"1,2,3,4,5,6,7,8,9,10,11,12,","1,2,5,6,7,8,9,10,11,12,"
17,22.3,8.5,9.4,"1,2,3,4,5,6,7,8,9,10,11,12,","1,2,5,6,7,8,9,10,11,12,"
18,8.3,3.4,0.0,"1,2,3,4,5,6,7,8,9,10,11,12,",
19,8.0,9.6,0.2999999999999998,"1,2,3,4,5,6,7,8,9,10,11,12,","1,2,5,6,7,8,9,10,11,12,"
20,12.6,7.9,0.0,"1,2,3,4,5,6,7,8,9,10,11,12,",
21,15.4,9.9,1.2000000000000002,"1,2,3,4,5,6,7,8,9,10,11,12,","1,2,5,6,7,8,9,10,11,12,"
22,19.2,5.7,6.300000000000001,"1,2,3,4,5,6,7,8,9,10,11,12,","1,2,5,6,7,8,9,10,11,12,"
23,20.6,5.8,5.4,"1,2,3,4,5,6,7,8,9,10,11,12,","1,2,5,6,7,8,9,10,11,12,"
24,14.6,6.5,0.7999999999999998,"1,2,3,4,5,6,7,8,9,10,11,12,","1,2,5,6,7,8,9,10,11,12,"
25,11.4,9.5,3.0,"1,2,3,4,5,6,7,8,9,10,11,12,","1,2,5,6,7,8,9,10,11,12,"
26,15.0,3.9,9.0,"1,2,3,4,5,6,7,8,9,10,11,12,","1,2,5,6,7,8,9,10,11,12,"
27,14.1,3.7,0.0,"1,2,3,4,5,6,7,8,9,10,11,12,",
28,15.9,5.1,5.9,"1,2,3,4,5,6,7,8,9,10,11,12,","1,2,5,6,7,8,9,10,11,12,"
29,5.5,1.3,0.0,"1,2,3,4,5,6,7,8,9,10,11,12,",
30,3.8,8.4,0.0,"1,2,3,4,5,6,7,8,9,10,11,12,",
31,19.1,6.9,7.9,"1,2,3,4,5,6,7,8,9,10,11,12,","1,2,5,6,7,8,9,10,11,12,"
32,14.1,7.5,0.0,"1,2,3,4,5,6,7,8,9,10,11,12,",
33,20.3,9.2,4.8,"1,2,3,4,5,6,7,8,9,10,11,12,","1,2,5,6,7,8,9,10,11,12,"
34,4.3,0.8,4.0,"1,2,3,4,5,6,7,8,9,10,11,12,","1,2,5,6,7,8,9,10,11,12,"
35,8.7,6.8,0.3999999999999999,"1,2,3,4,5,6,7,8,9,10,11,12,","1,2,5,6,7,8,9,10,11,12,"
