,Due Time,Stage-1 Processing Time,Stage-2 Processing Time,Stage-1 Machines,Stage-2 Machines
0,17.1,6.3,0.7999999999999998,"1,2,3,4,5,6,7,8,9,10,11,12,13,","2,3,4,6,7,9,10,11,12,13,"
1,4.2,8.5,0.0,"1,2,3,4,5,6,7,8,9,10,11,12,13,",
2,24.0,6.4,8.3,"1,2,3,4,5,6,7,8,9,10,11,12,13,","2,3,4,6,7,9,10,11,12,13,"
3,12.7,7.1,2.8,"1,2,3,4,5,6,7,8,9,10,11,12,13,","2,3,4,6,7,9,10,11,12,13,"
4,14.8,8.6,0.0,"1,2,3,4,5,6,7,8,9,10,11,12,13,",
5,7.7,4.4,5.4,"1,2,3,4,5,6,7,8,9,10,11,12,13,","2,3,4,6,7,9,10,11,12,13,"
6,15.7,2.4,9.3,"1,2,3,4,5,6,7,8,9,10,11,12,13,","2,3,4,6,7,9,10,11,12,13,"
7,17.9,9.9,2.5999999999999996,"1,2,3,4,5,6,7,8,9,10,11,12,13,","2,3,4,6,7,9,10,11,12,13,"
8,12.0,8.7,2.0999999999999996,"1,2,3,4,5,6,7,8,9,10,11,12,13,","2,3,4,6,7,9,10,11,12,13,"
9,2.5,0.1,0.0,"1,2,3,4,5,6,7,8,9,10,11,12,13,",
10,17.9,3.5,5.5,"1,2,3,4,5,6,7,8,9,10,11,12,13,","2,3,4,6,7,9,10,11,12,13,"
11,1.5,3.3,0.0,"1,2,3,4,5,6,7,8,9,10,11,12,13,",
12,17.6,8.3,6.300000000000001,"1,2,3,4,5,6,7,8,9,10,11,12,13,","2,3,4,6,7,9,10,11,12,13,"
13,11.3,7.9,0.0,"1,2,3,4,5,6,7,8,9,10,11,12,13,",
14,11.2,9.5,0.0,"1,2,3,4,5,6,7,8,9,10,11,12,13,",
15,21.1,9.4,9.3,"1,2,3,4,5,6,7,8,9,10,11,12,13,","2,3,4,6,7,9,10,11,12,13,"
