,Due Time,Stage-1 Processing Time,Stage-2 Processing Time,Stage-1 Machines,Stage-2 Machines
0,6.3,0.9,5.2,"1,2,3,4,5,6,7,8,","1,3,4,5,6,7,8,"
1,5.6,1.0,1.4,"1,2,3,4,5,6,7,8,","1,3,4,5,6,7,8,"
2,6.3,2.7,2.7,"1,2,3,4,5,6,7,8,","1,3,4,5,6,7,8,"
3,17.4,6.9,0.7000000000000002,"1,2,3,4,5,6,7,8,","1,3,4,5,6,7,8,"
4,10.5,2.7,9.4,"1,2,3,4,5,6,7,8,","1,3,4,5,6,7,8,"
5,22.7,8.9,4.8,"1,2,3,4,5,6,7,8,","1,3,4,5,6,7,8,"
6,9.8,9.9,1.7000000000000002,"1,2,3,4,5,6,7,8,","1,3,4,5,6,7,8,"
7,1.0,1.3,4.8,"1,2,3,4,5,6,7,8,","1,3,4,5,6,7,8,"
8,10.8,1.1,0.0,"1,2,3,4,5,6,7,8,",
9,13.1,0.4,8.2,"1,2,3,4,5,6,7,8,","1,3,4,5,6,7,8,"
10,14.5,5.2,7.9,"1,2,3,4,5,6,7,8,","1,3,4,5,6,7,8,"
11,15.2,8.7,0.7000000000000002,"1,2,3,4,5,6,7,8,","1,3,4,5,6,7,8,"
12,3.1,0.2,0.20000000000000018,"1,2,3,4,5,6,7,8,","1,3,4,5,6,7,8,"
13,14.8,3.9,6.0,"1,2,3,4,5,6,7,8,","1,3,4,5,6,7,8,"
14,17.5,7.3,5.0,"1,2,3,4,5,6,7,8,","1,3,4,5,6,7,8,"
15,12.8,4.0,7.6,"1,2,3,4,5,6,7,8,","1,3,4,5,6,7,8,"
16,19.6,9.8,6.6,"1,2,3,4,5,6,7,8,","1,3,4,5,6,7,8,"
17,4.9,6.3,0.0,"1,2,3,4,5,6,7,8,",
18,6.3,3.2,1.7999999999999998,"1,2,3,4,5,6,7,8,","1,3,4,5,6,7,8,"
19,24.0,7.0,8.2,"1,2,3,4,5,6,7,8,","1,3,4,5,6,7,8,"
20,14.3,5.4,1.0,"1,2,3,4,5,6,7,8,","1,3,4,5,6,7,8,"
21,10.5,7.6,0.7000000000000002,"1,2,3,4,5,6,7,8,","1,3,4,5,6,7,8,"
22,7.9,6.1,2.3,"1,2,3,4,5,6,7,8,","1,3,4,5,6,7,8,"
23,22.0,5.2,3.5999999999999996,"1,2,3,4,5,6,7,8,","1,3,4,5,6,7,8,"
24,11.7,5.6,4.1,"1,2,3,4,5,6,7,8,","1,3,4,5,6,7,8,"
25,17.0,6.5,2.5,"1,2,3,4,5,6,7,8,","1,3,4,5,6,7,8,"
26,7.5,2.3,1.7999999999999998,"1,2,3,4,5,6,7,8,","1,3,4,5,6,7,8,"
27,16.2,6.7,9.1,"1,2,3,4,5,6,7,8,","1,3,4,5,6,7,8,"
28,10.2,2.4,2.3,"1,2,3,4,5,6,7,8,","1,3,4,5,6,7,8,"
29,8.5,1.1,5.2,"1,2,3,4,5,6,7,8,","1,3,4,5,6,7,8,"
30,16.4,7.1,4.3,"1,2,3,4,5,6,7,8,","1,3,4,5,6,7,8,"
31,2.1,3.0,0.8999999999999999,"1,2,3,4,5,6,7,8,","1,3,4,5,6,7,8,"
32,13.0,1.0,5.8,"1,2,3,4,5,6,7,8,","1,3,4,5,6,7,8,"
33,4.2,0.1,2.2,"1,2,3,4,5,6,7,8,","1,3,4,5,6,7,8,"
