,Due Time,Stage-1 Processing Time,Stage-2 Processing Time,Stage-1 Machines,Stage-2 Machines
0,21.5,4.0,5.8,"1,2,3,4,5,6,7,","1,2,3,4,6,"
1,14.6,8.3,2.8,"1,2,3,4,5,6,7,","1,2,3,4,6,"
2,18.1,8.3,4.9,"1,2,3,4,5,6,7,","1,2,3,4,6,"
3,13.8,8.4,4.2,"1,2,3,4,5,6,7,","1,2,3,4,6,"
4,1.6,4.5,0.5,"1,2,3,4,5,6,7,","1,2,3,4,6,"
5,1.0,1.4,1.5,"1,2,3,4,5,6,7,","1,2,3,4,6,"
6,17.1,0.7,8.3,"1,2,3,4,5,6,7,","1,2,3,4,6,"
7,24.0,8.3,7.9,"1,2,3,4,5,6,7,","1,2,3,4,6,"
8,18.0,6.9,3.9000000000000004,"1,2,3,4,5,6,7,","1,2,3,4,6,"
9,13.9,2.5,0.7000000000000002,"1,2,3,4,5,6,7,","1,2,3,4,6,"
10,13.0,6.8,7.4,"1,2,3,4,5,6,7,","1,2,3,4,6,"
11,14.6,9.6,0.0,"1,2,3,4,5,6,7,",
12,20.4,6.6,2.7,"1,2,3,4,5,6,7,","1,2,3,4,6,"
13,11.9,6.1,2.7,"1,2,3,4,5,6,7,","1,2,3,4,6,"
14,4.8,1.2,0.0,"1,2,3,4,5,6,7,",
15,20.5,7.6,5.3,"1,2,3,4,5,6,7,","1,2,3,4,6,"
16,13.0,0.8,5.9,"1,2,3,4,5,6,7,","1,2,3,4,6,"
17,6.8,3.6,0.0,"1,2,3,4,5,6,7,",
18,15.5,3.2,8.6,"1,2,3,4,5,6,7,","1,2,3,4,6,"
