Job ID,Due Time,Stage-1 Processing Time,Stage-2 Processing Time,Stage-1 Machines,Stage-2 Machines
0,14.7,7.1,2.7,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17","1,2,3,5,6,7,8,9,10,12,13,14,15,17"
1,5.3,0.1,0.20000000000000018,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17","1,2,3,5,6,7,8,9,10,12,13,14,15,17"
2,12.9,3.7,6.9,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17","1,2,3,5,6,7,8,9,10,12,13,14,15,17"
3,19.8,4.9,6.6,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17","1,2,3,5,6,7,8,9,10,12,13,14,15,17"
4,12.8,3.5,7.199999999999999,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17","1,2,3,5,6,7,8,9,10,12,13,14,15,17"
5,15.6,6.7,0.0,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17",
6,15.4,3.5,6.199999999999999,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17","1,2,3,5,6,7,8,9,10,12,13,14,15,17"
7,13.1,9.3,0.7999999999999998,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17","1,2,3,5,6,7,8,9,10,12,13,14,15,17"
8,6.8,0.9,2.2,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17","1,2,3,5,6,7,8,9,10,12,13,14,15,17"
9,10.2,3.7,3.2,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17","1,2,3,5,6,7,8,9,10,12,13,14,15,17"
10,17.2,6.0,0.0,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17",
11,18.6,5.6,7.199999999999999,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17","1,2,3,5,6,7,8,9,10,12,13,14,15,17"
12,13.0,8.9,0.2999999999999998,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17","1,2,3,5,6,7,8,9,10,12,13,14,15,17"
13,14.1,1.2,9.9,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17","1,2,3,5,6,7,8,9,10,12,13,14,15,17"
14,21.1,7.1,5.3,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17","1,2,3,5,6,7,8,9,10,12,13,14,15,17"
15,24.0,7.1,9.4,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17","1,2,3,5,6,7,8,9,10,12,13,14,15,17"
16,1.1,0.4,0.0,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17",
17,7.3,6.1,3.0999999999999996,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17","1,2,3,5,6,7,8,9,10,12,13,14,15,17"
18,8.8,4.5,4.9,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17","1,2,3,5,6,7,8,9,10,12,13,14,15,17"
19,12.5,9.5,0.0,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17",
20,19.2,5.0,3.7,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17","1,2,3,5,6,7,8,9,10,12,13,14,15,17"
21,18.1,5.0,9.5,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17","1,2,3,5,6,7,8,9,10,12,13,14,15,17"
22,14.9,7.4,5.8,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17","1,2,3,5,6,7,8,9,10,12,13,14,15,17"
