,Due Time,Stage-1 Processing Time,Stage-2 Processing Time,Stage-1 Machines,Stage-2 Machines
0,6.9,3.2,0.0,"1,2,3,4,5,6,7,8,9,",
1,16.4,1.5,6.0,"1,2,3,4,5,6,7,8,9,","1,2,3,4,5,6,7,8,"
2,13.8,8.9,1.1,"1,2,3,4,5,6,7,8,9,","1,2,3,4,5,6,7,8,"
3,13.6,5.2,7.199999999999999,"1,2,3,4,5,6,7,8,9,","1,2,3,4,5,6,7,8,"
4,18.7,4.9,7.5,"1,2,3,4,5,6,7,8,9,","1,2,3,4,5,6,7,8,"
5,4.5,6.1,0.7000000000000002,"1,2,3,4,5,6,7,8,9,","1,2,3,4,5,6,7,8,"
6,17.7,5.3,8.8,"1,2,3,4,5,6,7,8,9,","1,2,3,4,5,6,7,8,"
7,13.1,8.0,7.699999999999999,"1,2,3,4,5,6,7,8,9,","1,2,3,4,5,6,7,8,"
8,10.9,6.9,1.6,"1,2,3,4,5,6,7,8,9,","1,2,3,4,5,6,7,8,"
9,18.4,6.8,7.199999999999999,"1,2,3,4,5,6,7,8,9,","1,2,3,4,5,6,7,8,"
10,11.7,3.1,0.0,"1,2,3,4,5,6,7,8,9,",
11,19.5,9.0,8.6,"1,2,3,4,5,6,7,8,9,","1,2,3,4,5,6,7,8,"
12,7.2,2.2,3.8,"1,2,3,4,5,6,7,8,9,","1,2,3,4,5,6,7,8,"
13,5.9,5.7,0.0,"1,2,3,4,5,6,7,8,9,",
14,4.1,6.1,0.0,"1,2,3,4,5,6,7,8,9,",
15,13.1,5.7,4.7,"1,2,3,4,5,6,7,8,9,","1,2,3,4,5,6,7,8,"
