Job ID,Due Time,Stage-1 Processing Time,Stage-2 Processing Time,Stage-1 Machines,Stage-2 Machines
0,13.5,2.7,5.5,"1,2,3,4,5,6,7,8,9,10,11,12,13","2,4,5,6,8,9,12,13"
1,9.9,2.0,4.9,"1,2,3,4,5,6,7,8,9,10,11,12,13","2,4,5,6,8,9,12,13"
2,7.4,9.8,0.0,"1,2,3,4,5,6,7,8,9,10,11,12,13",
3,7.7,0.6,0.6000000000000001,"1,2,3,4,5,6,7,8,9,10,11,12,13","2,4,5,6,8,9,12,13"
4,13.2,0.8,9.7,"1,2,3,4,5,6,7,8,9,10,11,12,13","2,4,5,6,8,9,12,13"
5,15.7,2.1,6.199999999999999,"1,2,3,4,5,6,7,8,9,10,11,12,13","2,4,5,6,8,9,12,13"
6,13.3,2.1,3.0999999999999996,"1,2,3,4,5,6,7,8,9,10,11,12,13","2,4,5,6,8,9,12,13"
7,9.0,4.5,4.9,"1,2,3,4,5,6,7,8,9,10,11,12,13","2,4,5,6,8,9,12,13"
8,11.7,7.0,2.8,"1,2,3,4,5,6,7,8,9,10,11,12,13","2,4,5,6,8,9,12,13"
9,12.6,4.4,6.0,"1,2,3,4,5,6,7,8,9,10,11,12,13","2,4,5,6,8,9,12,13"
10,22.1,5.9,7.199999999999999,"1,2,3,4,5,6,7,8,9,10,11,12,13","2,4,5,6,8,9,12,13"
11,14.0,3.0,0.20000000000000018,"1,2,3,4,5,6,7,8,9,10,11,12,13","2,4,5,6,8,9,12,13"
12,18.7,1.0,6.0,"1,2,3,4,5,6,7,8,9,10,11,12,13","2,4,5,6,8,9,12,13"
13,9.9,7.5,0.0,"1,2,3,4,5,6,7,8,9,10,11,12,13",
14,16.2,0.1,5.3,"1,2,3,4,5,6,7,8,9,10,11,12,13","2,4,5,6,8,9,12,13"
15,15.4,1.0,8.6,"1,2,3,4,5,6,7,8,9,10,11,12,13","2,4,5,6,8,9,12,13"
16,3.2,2.5,0.0,"1,2,3,4,5,6,7,8,9,10,11,12,13",
17,11.6,8.0,3.3,"1,2,3,4,5,6,7,8,9,10,11,12,13","2,4,5,6,8,9,12,13"
18,14.3,8.3,0.0,"1,2,3,4,5,6,7,8,9,10,11,12,13",
19,20.1,7.4,1.0,"1,2,3,4,5,6,7,8,9,10,11,12,13","2,4,5,6,8,9,12,13"
20,13.4,1.4,3.0,"1,2,3,4,5,6,7,8,9,10,11,12,13","2,4,5,6,8,9,12,13"
21,3.3,0.3,4.1,"1,2,3,4,5,6,7,8,9,10,11,12,13","2,4,5,6,8,9,12,13"
22,11.9,6.8,0.0,"1,2,3,4,5,6,7,8,9,10,11,12,13",
23,5.6,4.0,2.5999999999999996,"1,2,3,4,5,6,7,8,9,10,11,12,13","2,4,5,6,8,9,12,13"
24,15.8,3.3,7.300000000000001,"1,2,3,4,5,6,7,8,9,10,11,12,13","2,4,5,6,8,9,12,13"
25,21.7,8.4,6.1,"1,2,3,4,5,6,7,8,9,10,11,12,13","2,4,5,6,8,9,12,13"
26,16.8,7.9,3.0999999999999996,"1,2,3,4,5,6,7,8,9,10,11,12,13","2,4,5,6,8,9,12,13"
27,16.0,0.7,6.800000000000001,"1,2,3,4,5,6,7,8,9,10,11,12,13","2,4,5,6,8,9,12,13"
28,9.8,0.3,9.2,"1,2,3,4,5,6,7,8,9,10,11,12,13","2,4,5,6,8,9,12,13"
29,21.5,9.1,1.6,"1,2,3,4,5,6,7,8,9,10,11,12,13","2,4,5,6,8,9,12,13"
30,12.7,3.7,6.800000000000001,"1,2,3,4,5,6,7,8,9,10,11,12,13","2,4,5,6,8,9,12,13"
31,8.6,9.3,0.8999999999999999,"1,2,3,4,5,6,7,8,9,10,11,12,13","2,4,5,6,8,9,12,13"
32,11.2,2.6,0.8999999999999999,"1,2,3,4,5,6,7,8,9,10,11,12,13","2,4,5,6,8,9,12,13"
33,24.0,9.1,7.9,"1,2,3,4,5,6,7,8,9,10,11,12,13","2,4,5,6,8,9,12,13"
34,16.3,2.5,5.4,"1,2,3,4,5,6,7,8,9,10,11,12,13","2,4,5,6,8,9,12,13"
35,10.8,4.0,2.7,"1,2,3,4,5,6,7,8,9,10,11,12,13","2,4,5,6,8,9,12,13"
36,1.0,4.3,1.7999999999999998,"1,2,3,4,5,6,7,8,9,10,11,12,13","2,4,5,6,8,9,12,13"
37,9.8,9.4,0.6000000000000001,"1,2,3,4,5,6,7,8,9,10,11,12,13","2,4,5,6,8,9,12,13"
38,7.9,4.4,0.0,"1,2,3,4,5,6,7,8,9,10,11,12,13",
39,21.5,8.4,8.1,"1,2,3,4,5,6,7,8,9,10,11,12,13","2,4,5,6,8,9,12,13"
40,20.9,7.1,1.1,"1,2,3,4,5,6,7,8,9,10,11,12,13","2,4,5,6,8,9,12,13"
41,2.4,2.9,0.7999999999999998,"1,2,3,4,5,6,7,8,9,10,11,12,13","2,4,5,6,8,9,12,13"
42,21.8,9.8,3.0999999999999996,"1,2,3,4,5,6,7,8,9,10,11,12,13","2,4,5,6,8,9,12,13"
43,22.1,9.0,5.3,"1,2,3,4,5,6,7,8,9,10,11,12,13","2,4,5,6,8,9,12,13"
44,9.6,9.1,7.300000000000001,"1,2,3,4,5,6,7,8,9,10,11,12,13","2,4,5,6,8,9,12,13"
45,15.2,5.7,5.4,"1,2,3,4,5,6,7,8,9,10,11,12,13","2,4,5,6,8,9,12,13"
46,3.6,0.9,0.0,"1,2,3,4,5,6,7,8,9,10,11,12,13",
47,14.0,2.2,2.3,"1,2,3,4,5,6,7,8,9,10,11,12,13","2,4,5,6,8,9,12,13"
