Job ID,Due Time,Stage-1 Processing Time,Stage-2 Processing Time,Stage-1 Machines,Stage-2 Machines
0,24.0,3.1,7.5,"1,2,3,4,5,6,7,8,9,10,11,12","1,2,3,4,6,7,9,11"
1,4.2,3.0,0.0,"1,2,3,4,5,6,7,8,9,10,11,12",
2,22.9,5.1,8.9,"1,2,3,4,5,6,7,8,9,10,11,12","1,2,3,4,6,7,9,11"
3,19.5,8.5,2.9000000000000004,"1,2,3,4,5,6,7,8,9,10,11,12","1,2,3,4,6,7,9,11"
4,10.0,3.6,3.2,"1,2,3,4,5,6,7,8,9,10,11,12","1,2,3,4,6,7,9,11"
5,24.0,6.1,9.9,"1,2,3,4,5,6,7,8,9,10,11,12","1,2,3,4,6,7,9,11"
6,7.6,2.7,3.9000000000000004,"1,2,3,4,5,6,7,8,9,10,11,12","1,2,3,4,6,7,9,11"
7,14.4,3.5,3.4000000000000004,"1,2,3,4,5,6,7,8,9,10,11,12","1,2,3,4,6,7,9,11"
8,13.4,6.0,1.4,"1,2,3,4,5,6,7,8,9,10,11,12","1,2,3,4,6,7,9,11"
9,9.6,3.2,4.0,"1,2,3,4,5,6,7,8,9,10,11,12","1,2,3,4,6,7,9,11"
10,12.8,9.0,0.5,"1,2,3,4,5,6,7,8,9,10,11,12","1,2,3,4,6,7,9,11"
11,1.5,0.4,1.0,"1,2,3,4,5,6,7,8,9,10,11,12","1,2,3,4,6,7,9,11"
12,21.0,9.1,3.5999999999999996,"1,2,3,4,5,6,7,8,9,10,11,12","1,2,3,4,6,7,9,11"
13,11.5,2.7,0.0,"1,2,3,4,5,6,7,8,9,10,11,12",
14,16.5,4.7,7.199999999999999,"1,2,3,4,5,6,7,8,9,10,11,12","1,2,3,4,6,7,9,11"
15,1.0,0.6,0.0,"1,2,3,4,5,6,7,8,9,10,11,12",
16,23.9,8.2,7.800000000000001,"1,2,3,4,5,6,7,8,9,10,11,12","1,2,3,4,6,7,9,11"
17,4.2,2.6,0.0,"1,2,3,4,5,6,7,8,9,10,11,12",
18,1.0,2.4,0.0,"1,2,3,4,5,6,7,8,9,10,11,12",
19,19.9,7.1,7.5,"1,2,3,4,5,6,7,8,9,10,11,12","1,2,3,4,6,7,9,11"
20,9.3,4.4,3.0999999999999996,"1,2,3,4,5,6,7,8,9,10,11,12","1,2,3,4,6,7,9,11"
21,5.4,1.4,6.0,"1,2,3,4,5,6,7,8,9,10,11,12","1,2,3,4,6,7,9,11"
22,2.5,1.3,0.0,"1,2,3,4,5,6,7,8,9,10,11,12",
23,12.9,2.6,0.6000000000000001,"1,2,3,4,5,6,7,8,9,10,11,12","1,2,3,4,6,7,9,11"
24,17.8,4.3,8.3,"1,2,3,4,5,6,7,8,9,10,11,12","1,2,3,4,6,7,9,11"
25,18.1,4.3,9.0,"1,2,3,4,5,6,7,8,9,10,11,12","1,2,3,4,6,7,9,11"
26,23.6,6.6,9.5,"1,2,3,4,5,6,7,8,9,10,11,12","1,2,3,4,6,7,9,11"
27,20.6,8.7,5.8,"1,2,3,4,5,6,7,8,9,10,11,12","1,2,3,4,6,7,9,11"
28,4.2,2.8,0.20000000000000018,"1,2,3,4,5,6,7,8,9,10,11,12","1,2,3,4,6,7,9,11"
29,9.2,0.1,5.1,"1,2,3,4,5,6,7,8,9,10,11,12","1,2,3,4,6,7,9,11"
