Job ID,Due Time,Stage-1 Processing Time,Stage-2 Processing Time,Stage-1 Machines,Stage-2 Machines
0,17.3,3.5,5.3,"1,2,3,4,5,6,7,8","3,5,6,7,8"
1,17.1,1.0,5.3,"1,2,3,4,5,6,7,8","3,5,6,7,8"
2,16.4,4.3,3.9000000000000004,"1,2,3,4,5,6,7,8","3,5,6,7,8"
3,4.1,2.0,2.9000000000000004,"1,2,3,4,5,6,7,8","3,5,6,7,8"
4,24.0,8.0,8.8,"1,2,3,4,5,6,7,8","3,5,6,7,8"
5,7.3,1.7,0.0,"1,2,3,4,5,6,7,8",
6,5.3,3.9,0.0,"1,2,3,4,5,6,7,8",
7,19.0,5.0,9.1,"1,2,3,4,5,6,7,8","3,5,6,7,8"
8,23.7,9.2,2.8,"1,2,3,4,5,6,7,8","3,5,6,7,8"
9,1.3,7.3,0.20000000000000018,"1,2,3,4,5,6,7,8","3,5,6,7,8"
10,24.0,8.4,3.4000000000000004,"1,2,3,4,5,6,7,8","3,5,6,7,8"
11,7.5,7.0,0.0,"1,2,3,4,5,6,7,8",
12,17.9,7.7,6.0,"1,2,3,4,5,6,7,8","3,5,6,7,8"
13,10.4,7.3,0.0,"1,2,3,4,5,6,7,8",
14,9.3,4.8,3.5,"1,2,3,4,5,6,7,8","3,5,6,7,8"
15,13.6,3.3,9.5,"1,2,3,4,5,6,7,8","3,5,6,7,8"
16,16.6,3.5,8.3,"1,2,3,4,5,6,7,8","3,5,6,7,8"
17,1.5,2.2,4.2,"1,2,3,4,5,6,7,8","3,5,6,7,8"
18,7.7,2.3,3.5999999999999996,"1,2,3,4,5,6,7,8","3,5,6,7,8"
19,14.4,4.6,2.5,"1,2,3,4,5,6,7,8","3,5,6,7,8"
20,14.2,8.9,1.2000000000000002,"1,2,3,4,5,6,7,8","3,5,6,7,8"
21,5.2,0.7,3.5,"1,2,3,4,5,6,7,8","3,5,6,7,8"
22,15.8,1.5,8.8,"1,2,3,4,5,6,7,8","3,5,6,7,8"
23,19.8,9.3,0.0,"1,2,3,4,5,6,7,8",
24,21.8,7.2,4.7,"1,2,3,4,5,6,7,8","3,5,6,7,8"
25,3.6,3.7,3.8,"1,2,3,4,5,6,7,8","3,5,6,7,8"
