Job ID,Due Time,Stage-1 Processing Time,Stage-2 Processing Time,Stage-1 Machines,Stage-2 Machines
1,23.4,9.3,8.5,"2,3,5,7","2,3,5,7"
2,14.8,4.6,7.199999999999999,"1,2,3,4,5,7","1,2,3,4,5,7"
3,13.1,5.0,4.800000000000001,"1,2,3,4,5,6","1,2,4,5,6"
4,18.6,5.6,0.0,"1,2,3,4,5,6,7",
5,14.1,8.9,0.0,"1,2,3,4,5,7",
6,9.6,1.9,1.2999999999999998,"1,2,3,5,6","2,3,5,6"
7,6.6,2.5,0.09999999999999964,"1,2,3,5,6,7","1,2,3,6,7"
8,6.7,1.7,0.0,"1,2,3,4,6",
9,10.3,5.4,0.0,"1,3,6,7",
10,8.9,4.2,0.0,"1,2,3,4,5",
11,15.9,3.4,8.6,"2,3,4,6,7","3,4,6,7"
12,1.0,2.8,5.4,"2,3,4,5,6,7","3,4,5,6,7"
13,10.1,1.2,0.7999999999999998,"1,2,3,4,5,6","1,5,6"
