Job ID,Due Time,Stage-1 Processing Time,Stage-2 Processing Time,Stage-1 Machines,Stage-2 Machines
1,23.4,9.3,8.5,"2,3,5,6,7,8,9,10,11,12","2,3,5,6,7,9,11,12"
2,14.8,4.6,7.199999999999999,"1,2,3,4,5,7,8,11","3,4,5,7,8,11"
3,13.1,5.0,4.800000000000001,"1,2,3,4,5,6,7,8,10,11","1,2,4,5,6,7,10,11"
4,18.6,5.6,0.0,"2,3,5,6,7,8,10,12",
5,14.1,8.9,0.0,"1,3,4,5,7,8,10,11,12",
6,9.6,1.9,1.2999999999999998,"1,2,3,5,6,8,9,10,11,12","1,2,3,6,11,12"
7,6.6,2.5,0.09999999999999964,"1,2,3,5,6,7,8,9,12","1,3,5,6,7,8,9"
8,6.7,1.7,0.0,"1,2,3,6,7,9,10,11,12",
9,10.3,5.4,0.0,"1,2,3,5,7,8,9,11,12",
10,8.9,4.2,0.0,"1,3,4,5,6,7,8,10,11,12",
11,15.9,3.4,8.6,"2,3,4,6,7,8,9,11,12","2,3,4,6,7,8,12"
12,1.0,2.8,5.4,"1,3,4,5,6,7,8,9,10,11,12","3,4,5,6,7,9,10,11,12"
13,10.1,1.2,0.7999999999999998,"1,2,5,6,8,9,10,11","1,2,5,8,9,10,11"
14,1.0,2.0,3.2,"1,2,3,4,5,6,8,9,10,12","1,2,5,6,8,9,10,12"
15,15.4,9.5,5.300000000000001,"1,2,3,4,5,6,9,10","2,3,4,5,6,10"
16,16.2,7.6,0.0,"2,3,4,5,7,8,10,11,12",
17,24.0,4.9,9.9,"1,3,4,7,8,9,11,12","3,4,7,8,9,11,12"
18,7.1,2.0,5.699999999999999,"1,2,3,4,5,6,8,9,10,11,12","1,2,3,4,6,9,10,11,12"
19,17.6,3.9,9.0,"1,2,3,4,5,7,8,9,10,12","1,2,4,5,7,8,10,12"
20,8.8,7.3,0.0,"1,2,4,5,6,7,8,10,11,12",
21,7.2,1.5,4.1,"1,2,3,5,6,7,8,9,11","2,5,6,7,11"
22,23.9,9.4,4.699999999999999,"1,2,3,4,6,7,8,9,11,12","1,2,6,7,8,12"
23,13.2,1.7,8.2,"2,3,4,6,7,8,9,10,11,12","2,3,4,6,8,10,11"
