Job ID,Due Time,Stage-1 Processing Time,Stage-2 Processing Time,Stage-1 Machines,Stage-2 Machines
1,23.4,9.3,8.5,"2,3,5,6","3,5,6"
2,14.8,4.6,7.199999999999999,"3,4,5","3,4,5"
3,13.1,5.0,4.800000000000001,"1,2,3,4,5,6","1,2,3,6"
4,18.6,5.6,0.0,"2,3,5,6",
5,14.1,8.9,0.0,"1,3,5",
6,9.6,1.9,1.2999999999999998,"1,2,3,4,5,6","1,3,4,5,6"
7,6.6,2.5,0.09999999999999964,"1,3,4,5,6","1,4,6"
8,6.7,1.7,0.0,"1,2,3,6",
9,10.3,5.4,0.0,"1,2,3,5",
10,8.9,4.2,0.0,"3,4,5,6",
11,15.9,3.4,8.6,"2,3,4,5,6","2,3,4,5,6"
12,1.0,2.8,5.4,"1,2,3,4,5,6","1,3,4,6"
13,10.1,1.2,0.7999999999999998,"1,2,5","2,5"
14,1.0,2.0,3.2,"1,2,4,5,6","1,2,4,5,6"
15,15.4,9.5,5.300000000000001,"1,2,3,4,5,6","2,3,4"
16,16.2,7.6,0.0,"2,3,4,5",
17,24.0,4.9,9.9,"1,3,4","3,4"
18,7.1,2.0,5.699999999999999,"1,3,4,6","1,3,6"
19,17.6,3.9,9.0,"1,2,4,5",1
20,8.8,7.3,0.0,"1,2,4,5",
21,7.2,1.5,4.1,"1,2,3,4,5,6","1,2,3,4,5,6"
22,23.9,9.4,4.699999999999999,"1,2,3,4,6","1,2,3,4"
23,13.2,1.7,8.2,"2,3,4,6","2,3,4"
24,15.4,9.1,8.2,"1,2,3,4,5,6","2,4,5"
25,1.0,1.2,0.0,"3,6",
26,18.2,9.5,0.5,"1,2,3,4","1,3"
27,16.9,9.8,5.0,"1,3,4,6","1,3,4,6"
28,12.6,0.3,3.5999999999999996,"1,2,4,5,6","1,2,6"
29,20.0,8.1,5.6,"3,5","3,5"
30,4.9,1.6,0.0,"1,2,3,4,5,6",
31,11.2,2.4,3.7,"1,5,6","5,6"
32,12.8,8.2,1.2000000000000002,"1,2,3,4,5,6","1,2,3,4,5,6"
33,8.1,8.8,0.20000000000000018,"1,2,3","1,3"
34,6.9,8.6,1.2999999999999998,"1,2,5,6","1,2,5,6"
35,17.6,3.8,0.5,"1,2,3,4","1,2,3,4"
36,11.0,5.7,2.3,"2,3,4,5,6","2,3,5"
37,15.9,8.4,0.0,"2,3,4,5",
38,12.7,1.3,0.0,"1,2,3,5,6",
39,4.2,4.6,0.0,"1,2,4,6",
40,11.4,9.1,2.0999999999999996,"2,3,4,6","2,3,4,6"
41,16.4,7.7,0.5999999999999996,"1,3,4,5,6","1,3,4,5,6"
