Job ID,Due Time,Stage-1 Processing Time,Stage-2 Processing Time,Stage-1 Machines,Stage-2 Machines
1,23.4,9.3,8.5,"2,3,5,6,7,8,9,10,11,12,14,15","2,3,6,9,11,12,14,15"
2,14.8,4.6,7.199999999999999,"1,2,3,4,5,7,8,11,14,15","3,4,5,7,11,15"
3,13.1,5.0,4.800000000000001,"1,2,3,4,5,6,7,8,10,11,13,15","1,2,4,5,6,7,10,11,13,15"
4,18.6,5.6,0.0,"2,3,5,6,7,8,10,12,13,14,15",
5,14.1,8.9,0.0,"1,3,4,5,7,8,10,11,12,13,14",
6,9.6,1.9,1.2999999999999998,"1,2,3,5,6,8,9,10,11,12,13,14","1,2,3,6,11,12,13,14"
7,6.6,2.5,0.09999999999999964,"1,2,3,5,6,7,8,9,12,13,15","1,3,5,6,7,8,9,13,15"
8,6.7,1.7,0.0,"1,2,3,6,7,8,9,10,11,12,13,14,15",
9,10.3,5.4,0.0,"1,2,3,5,7,8,11,12,13,14,15",
10,8.9,4.2,0.0,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",
11,15.9,3.4,8.6,"2,3,4,6,7,8,9,11,12,13,14,15","2,3,4,6,7,8,11,12,13,14,15"
12,1.0,2.8,5.4,"1,2,3,4,5,6,7,8,9,10,11,12,15","1,3,4,5,6,7,9,10,11,12,15"
13,10.1,1.2,0.7999999999999998,"1,2,5,6,8,9,10,11,13,14,15","1,2,5,8,9,10,11,15"
14,1.0,2.0,3.2,"1,2,4,5,6,8,9,10,12,13,14,15","1,2,5,6,8,9,10,12,14"
15,15.4,9.5,5.300000000000001,"1,2,3,4,5,6,9,10,11,14,15","1,2,3,4,5,6,10,15"
16,16.2,7.6,0.0,"2,3,4,5,7,8,10,11,12,14,15",
17,24.0,4.9,9.9,"1,3,4,7,8,9,11,12,13,14","3,4,7,8,9,11,12,13,14"
18,7.1,2.0,5.699999999999999,"1,2,3,4,5,6,8,9,10,11,12,13,14,15","1,3,4,6,9,10,11,12,15"
19,17.6,3.9,9.0,"1,2,3,4,5,7,8,9,10,12,13,14","1,2,4,5,7,8,10,12,13,14"
20,8.8,7.3,0.0,"1,2,4,5,6,7,8,10,11,12,13,14",
21,7.2,1.5,4.1,"1,2,3,5,6,7,8,9,11,12,13,14,15","2,5,6,7,11,13,14,15"
22,23.9,9.4,4.699999999999999,"1,2,3,4,6,7,8,9,11,12,13,14,15","1,2,6,7,8,12,14"
23,13.2,1.7,8.2,"2,3,4,6,8,9,10,11,12,14,15","2,3,4,6,8,10,11,14"
24,15.4,9.1,8.2,"1,2,3,4,5,6,8,11,12,13,15","1,2,3,4,5,6,11,12,15"
25,1.0,1.2,0.0,"5,6,7,8,9,10,11,12,13,14,15",
26,18.2,9.5,0.5,"1,2,3,4,6,7,8,9,10,11,12,14,15","1,2,3,4,6,7,8,10,11,12,14,15"
27,16.9,9.8,5.0,"1,3,4,5,6,8,9,10,11,12,13,15","4,6,8,9,10,11,12,13,15"
28,12.6,0.3,3.5999999999999996,"1,2,3,4,5,7,8,10,11,12,13,14,15","1,4,5,7,8,10,12,13"
29,20.0,8.1,5.6,"3,5,7,8,9,10,11,12,13,14,15","3,5,7,8,9,10,11,12,14,15"
30,4.9,1.6,0.0,"2,4,5,6,7,8,10,11,12,14,15",
31,11.2,2.4,3.7,"1,2,3,4,5,7,8,9,10,11,12,15","1,2,5,7,9,11,12"
